"Arquivo","Caminho","Linhas","Flask","FastAPI","SQLite","Requests","Pandas","Numpy","Streamlit","Tkinter","OpenAI","Classes","Funcoes"
"CERTIFIER_ENGINE.py","C:\IOTEC\CERTIFIER_ENGINE.py","676","False","False","False","False","False","False","False","False","False","0","2"
"CHAT_GLOBAL.py","C:\IOTEC\CHAT_GLOBAL.py","28","False","False","False","False","False","False","False","False","False","0","0"
"CINEMATIC_ENTERPRISE.py","C:\IOTEC\CINEMATIC_ENTERPRISE.py","1592","False","False","False","False","False","False","False","False","False","0","4"
"CINEMATIC_OPERATIONS.py","C:\IOTEC\CINEMATIC_OPERATIONS.py","1583","True","False","False","True","False","False","False","False","False","0","3"
"Classificação_do_Projeto.py","C:\IOTEC\Classificação_do_Projeto.py","16","False","False","False","False","False","False","False","False","False","0","1"
"CLIENTE_INTERNACIONAL.py","C:\IOTEC\CLIENTE_INTERNACIONAL.py","18","False","False","False","False","False","False","False","False","False","0","0"
"CLIENT_ONBOARDING_ENGINE.py","C:\IOTEC\CLIENT_ONBOARDING_ENGINE.py","287","False","False","True","False","False","False","False","False","False","0","0"
"CLOSING_ENGINE.py","C:\IOTEC\CLOSING_ENGINE.py","143","False","False","True","False","False","False","False","False","False","0","0"
"cluster_bootstrap.py","C:\IOTEC\cluster_bootstrap.py","65","False","False","False","False","False","False","False","False","False","0","0"
"coletor_api.py","C:\IOTEC\coletor_api.py","83","True","False","False","False","False","False","False","False","False","0","2"
"COMMERCIAL_ACTION_ENGINE.py","C:\IOTEC\COMMERCIAL_ACTION_ENGINE.py","291","False","False","True","False","False","False","False","False","False","0","0"
"COMMERCIAL_ACTION_EXECUTOR.py","C:\IOTEC\COMMERCIAL_ACTION_EXECUTOR.py","271","False","False","True","False","False","False","False","False","False","0","0"
"COMMERCIAL_CONTROL_TOWER.py","C:\IOTEC\COMMERCIAL_CONTROL_TOWER.py","162","False","False","True","False","False","False","False","False","False","0","0"
"COMMERCIAL_CONVERSION_ENGINE.py","C:\IOTEC\COMMERCIAL_CONVERSION_ENGINE.py","114","False","False","True","False","False","False","False","False","False","0","0"
"COMMERCIAL_EXECUTIVE_REPORT.py","C:\IOTEC\COMMERCIAL_EXECUTIVE_REPORT.py","191","False","False","True","False","False","False","False","False","False","0","0"
"COMMERCIAL_FORECAST_ENGINE.py","C:\IOTEC\COMMERCIAL_FORECAST_ENGINE.py","135","False","False","True","False","False","False","False","False","False","0","0"
"COMMERCIAL_FUNNEL_ENGINE.py","C:\IOTEC\COMMERCIAL_FUNNEL_ENGINE.py","102","False","False","True","False","False","False","False","False","False","0","0"
"COMMERCIAL_FUSION_ENGINE.py","C:\IOTEC\COMMERCIAL_FUSION_ENGINE.py","91","False","False","True","False","False","False","False","False","False","0","0"
"COMMERCIAL_HEALTH_CHECK.py","C:\IOTEC\COMMERCIAL_HEALTH_CHECK.py","161","False","False","True","False","False","False","False","False","False","0","0"
"COMMERCIAL_OPPORTUNITY_ENGINE.py","C:\IOTEC\COMMERCIAL_OPPORTUNITY_ENGINE.py","111","False","False","True","False","True","False","False","False","False","0","0"
"COMMERCIAL_TOWER.py","C:\IOTEC\COMMERCIAL_TOWER.py","65","False","False","True","False","False","False","False","False","False","0","1"
"COMMERCIAL_TO_PIPELINE_SYNC.py","C:\IOTEC\COMMERCIAL_TO_PIPELINE_SYNC.py","162","False","False","True","False","False","False","False","False","False","0","0"
"COMMUNICATION_CENTER.py","C:\IOTEC\COMMUNICATION_CENTER.py","253","False","False","True","False","False","False","False","False","False","0","0"
"COMMUNICATION_FEEDBACK_ENGINE.py","C:\IOTEC\COMMUNICATION_FEEDBACK_ENGINE.py","184","False","False","True","False","False","False","False","False","False","0","0"
"COMMUNICATION_GUARDIAN.py","C:\IOTEC\COMMUNICATION_GUARDIAN.py","211","False","False","True","False","False","False","False","False","False","0","0"
"COMMUNICATION_ORCHESTRATOR.py","C:\IOTEC\COMMUNICATION_ORCHESTRATOR.py","174","False","False","True","False","False","False","False","False","False","0","0"
"COMUNICAAO_NULEO.PY","C:\IOTEC\COMUNICAAO_NULEO.PY","80","False","False","False","False","False","False","False","False","False","0","5"
"conciencia_do_nucleo.py","C:\IOTEC\conciencia_do_nucleo.py","14","False","False","False","False","False","False","False","False","False","0","1"
"config.py","C:\IOTEC\config.py","4","False","False","False","False","False","False","False","False","False","0","0"
"CONFIGURADOR_AUTOMATICO.py","C:\IOTEC\CONFIGURADOR_AUTOMATICO.py","353","False","False","False","False","False","False","False","False","False","0","3"
"CONFIRM_INVOICE30.py","C:\IOTEC\CONFIRM_INVOICE30.py","86","False","False","True","False","False","False","False","False","False","0","0"
"CONFIRM_INVOICE70.py","C:\IOTEC\CONFIRM_INVOICE70.py","73","False","False","True","False","False","False","False","False","False","0","0"
"CONFIRM_PAYMENT.py","C:\IOTEC\CONFIRM_PAYMENT.py","51","False","False","True","False","False","False","False","False","False","0","0"
"CONFIRM_PAYMENT_BACKUP.py","C:\IOTEC\CONFIRM_PAYMENT_BACKUP.py","51","False","False","True","False","False","False","False","False","False","0","0"
"CONNECTOR_EXECUTOR.py","C:\IOTEC\CONNECTOR_EXECUTOR.py","77","False","False","True","False","False","False","False","False","False","0","0"
"CONSOLIDADOR_E_FILTRO.py","C:\IOTEC\CONSOLIDADOR_E_FILTRO.py","905","False","False","False","False","False","False","False","False","False","0","10"
"CONSOLIDATION_ENGINE.py","C:\IOTEC\CONSOLIDATION_ENGINE.py","947","True","False","False","False","False","False","False","False","False","0","12"
"CONTEUDO_REAL_DOS_SERVICOS.py","C:\IOTEC\CONTEUDO_REAL_DOS_SERVICOS.py","138","False","False","False","False","False","False","False","False","False","0","0"
"CONTINUOUS_OPERATION.py","C:\IOTEC\CONTINUOUS_OPERATION.py","430","False","False","False","False","False","False","False","False","False","0","10"
"CONTINUOUS_PROGRAMMING.py","C:\IOTEC\CONTINUOUS_PROGRAMMING.py","1043","False","False","False","False","False","False","False","False","False","0","0"
"CONTRACT_CONVERSION_ENGINE.py","C:\IOTEC\CONTRACT_CONVERSION_ENGINE.py","150","False","False","True","False","False","False","False","False","False","0","0"
"CONTROLE_DE_CUSTOS.py","C:\IOTEC\CONTROLE_DE_CUSTOS.py","39","False","False","False","False","False","False","False","False","False","0","1"
"CONTROL_CENTER.py","C:\IOTEC\CONTROL_CENTER.py","400","False","False","True","True","False","False","False","False","False","0","1"
"Conversacional_Moderna.py","C:\IOTEC\Conversacional_Moderna.py","583","False","False","False","False","False","False","False","False","False","1","7"
"CONVERSION_INTELLIGENCE_ENGINE.py","C:\IOTEC\CONVERSION_INTELLIGENCE_ENGINE.py","255","False","False","True","False","False","False","False","False","False","0","0"
"CORE_BUSINESS.py","C:\IOTEC\CORE_BUSINESS.py","1064","False","False","False","False","False","False","False","False","False","0","11"
"CORE_MASTER.py","C:\IOTEC\CORE_MASTER.py","165","False","False","False","False","False","False","False","False","False","0","2"
"CORE_PHILOSOPHY.py","C:\IOTEC\CORE_PHILOSOPHY.py","51","False","False","False","False","False","False","False","False","False","0","1"
"CORE_STRESS_TEST.py","C:\IOTEC\CORE_STRESS_TEST.py","143","False","False","False","False","False","False","False","False","False","5","11"
"CORE_VERSAO_CALIBRADA.py","C:\IOTEC\CORE_VERSAO_CALIBRADA.py","252","False","False","False","False","False","False","False","False","False","1","9"
"COR_INDEXER.py","C:\IOTEC\COR_INDEXER.py","498","False","False","False","False","False","False","False","False","False","0","3"
"COUNT_FUNCTIONS.py","C:\IOTEC\COUNT_FUNCTIONS.py","46","False","False","False","False","False","False","False","False","False","0","0"
"CPU_SHIELD.py","C:\IOTEC\CPU_SHIELD.py","970","False","False","False","False","False","False","False","False","False","0","3"
"CREATIVE_EXPLORER.py","C:\IOTEC\CREATIVE_EXPLORER.py","889","True","False","False","False","False","False","False","False","False","0","9"
"criar_entrega.py","C:\IOTEC\criar_entrega.py","20","False","False","False","False","False","False","False","False","False","0","1"
"CRM_ENGINE.py","C:\IOTEC\CRM_ENGINE.py","103","False","False","True","False","False","False","False","False","False","0","3"
"CSV_CONNECTOR.py","C:\IOTEC\CSV_CONNECTOR.py","132","False","False","True","False","False","False","False","False","False","0","0"
"DAILY_COMMERCIAL_AUTOMATION.py","C:\IOTEC\DAILY_COMMERCIAL_AUTOMATION.py","50","False","False","False","False","False","False","False","False","False","0","0"
"DAILY_EXECUTION_ENGINE.py","C:\IOTEC\DAILY_EXECUTION_ENGINE.py","249","False","False","True","False","False","False","False","False","False","0","0"
"DASHBOARD_AUTO_INSTALLER.py","C:\IOTEC\DASHBOARD_AUTO_INSTALLER.py","513","False","False","False","False","False","False","False","False","False","0","1"
"DASHBOARD_BACKUP_20260511_193717.py","C:\IOTEC\DASHBOARD_BACKUP_20260511_193717.py","378","False","False","True","True","True","False","True","False","False","0","0"
"DASHBOARD_INSTALLER.py","C:\IOTEC\DASHBOARD_INSTALLER.py","340","False","False","False","False","False","False","False","False","False","0","0"
"DATABASE_INSPECTOR.py","C:\IOTEC\DATABASE_INSPECTOR.py","65","False","False","True","False","False","False","False","False","False","0","0"
"DATA_REFINERY_SYSTEM.py","C:\IOTEC\DATA_REFINERY_SYSTEM.py","1073","True","False","True","False","False","False","False","False","False","0","11"
"DEEP_ASSET_ARCHAEOLOGY.py","C:\IOTEC\DEEP_ASSET_ARCHAEOLOGY.py","280","False","False","False","False","False","False","False","False","False","0","0"
"DEEP_CORE_SCANNER.py","C:\IOTEC\DEEP_CORE_SCANNER.py","624","True","True","True","False","False","False","True","False","False","0","2"
"definir_plano.py","C:\IOTEC\definir_plano.py","73","False","False","False","False","False","False","False","False","False","0","1"
"DEPENDENCY_GRAPH.py","C:\IOTEC\DEPENDENCY_GRAPH.py","78","False","False","False","False","False","False","False","False","False","0","0"
"DETECCAO_DE_ALTO_RETORNO.py","C:\IOTEC\DETECCAO_DE_ALTO_RETORNO.py","54","False","False","False","False","False","False","False","False","False","0","1"
"detectar_idioma.py","C:\IOTEC\detectar_idioma.py","20","False","False","False","False","False","False","False","False","False","0","1"
"DETECTAR_INTERFACES_EXTERNNAS.py","C:\IOTEC\DETECTAR_INTERFACES_EXTERNNAS.py","71","False","False","False","False","False","False","False","False","False","0","1"
"diagnostico.py","C:\IOTEC\diagnostico.py","33","False","False","False","False","False","False","False","False","False","0","0"
"dialogo.py","C:\IOTEC\dialogo.py","83","False","False","False","False","False","False","False","False","False","0","4"
"DIRECT_LEAD_TEST.py","C:\IOTEC\DIRECT_LEAD_TEST.py","30","False","False","False","True","False","False","False","False","False","0","0"
"DISPARAR_DEPLOY.py","C:\IOTEC\DISPARAR_DEPLOY.py","159","False","False","False","False","False","False","False","False","False","0","9"
"Domínios_da_Vida.py","C:\IOTEC\Domínios_da_Vida.py","43","False","False","False","False","False","False","False","False","False","0","0"
"ECONOMIC_AUDIT_ENGINE.py","C:\IOTEC\ECONOMIC_AUDIT_ENGINE.py","134","False","False","False","False","False","False","False","False","False","0","2"
"ECONOMIC_INTELLIGENCE.py","C:\IOTEC\ECONOMIC_INTELLIGENCE.py","300","False","False","False","False","False","False","False","False","False","0","0"
"Ecossistema_Black_Diamond.py","C:\IOTEC\Ecossistema_Black_Diamond.py","141","False","False","False","False","False","False","False","False","False","0","0"
"ECOSSISTEMA_DE_IA_ASSISTIVA.py","C:\IOTEC\ECOSSISTEMA_DE_IA_ASSISTIVA.py","1826","False","False","False","False","False","False","False","False","True","0","0"
"ECOSYSTEM_ACTIVATION.py","C:\IOTEC\ECOSYSTEM_ACTIVATION.py","1259","False","False","False","False","False","False","False","False","False","0","0"
"EDU_ECOSYSTEM.py","C:\IOTEC\EDU_ECOSYSTEM.py","197","False","False","False","False","False","False","False","False","False","0","4"
"eh_pagamento_paypal.py","C:\IOTEC\eh_pagamento_paypal.py","22","False","False","False","False","False","False","False","False","False","0","0"
"email_bridge.py","C:\IOTEC\email_bridge.py","26","False","False","False","False","False","False","False","False","False","0","0"
"engine.py","C:\IOTEC\engine.py","101","False","False","False","False","False","False","False","False","False","0","2"
"ENGINE_ROUTER_CORE.py","C:\IOTEC\ENGINE_ROUTER_CORE.py","457","True","False","True","False","False","False","False","False","False","0","9"
"ENTERPRISE_ENGINE.py","C:\IOTEC\ENTERPRISE_ENGINE.py","1639","False","False","False","False","False","False","False","False","False","0","0"
"ENTERPRISE_RENDER_READY.py","C:\IOTEC\ENTERPRISE_RENDER_READY.py","830","True","False","True","False","False","False","False","False","False","0","10"
"ENTERPRISE_WEB_CORE.py","C:\IOTEC\ENTERPRISE_WEB_CORE.py","1516","False","False","False","False","False","False","False","False","False","0","15"
"entrada_principal_main.py","C:\IOTEC\entrada_principal_main.py","48","False","False","False","False","False","False","False","False","False","0","1"
"Escala_de_Joias.py","C:\IOTEC\Escala_de_Joias.py","9","False","False","False","False","False","False","False","False","False","0","0"
"estimate_potential.py","C:\IOTEC\estimate_potential.py","13","False","False","False","False","False","False","False","False","False","0","1"
"EVENT_BUS.py","C:\IOTEC\EVENT_BUS.py","115","False","False","False","False","False","False","False","False","False","5","12"
"event_bus_v4.py","C:\IOTEC\event_bus_v4.py","160","False","False","False","False","False","False","False","False","False","5","17"
"event_bus_v5.py","C:\IOTEC\event_bus_v5.py","158","False","False","False","False","False","False","False","False","False","6","16"
"event_bus_v6.py","C:\IOTEC\event_bus_v6.py","191","False","False","False","False","False","False","False","False","False","7","18"
"event_bus_v7.py","C:\IOTEC\event_bus_v7.py","179","False","False","False","False","False","False","False","False","False","6","19"
"event_bus_v8.py","C:\IOTEC\event_bus_v8.py","203","False","False","False","False","False","False","False","False","False","7","21"
"event_bus_v9.py","C:\IOTEC\event_bus_v9.py","218","False","False","False","False","False","False","False","False","False","8","23"
"EXECUTION_CORE.py","C:\IOTEC\EXECUTION_CORE.py","648","False","False","False","False","False","False","False","False","False","0","0"
"EXECUTION_DISCOVERY.py","C:\IOTEC\EXECUTION_DISCOVERY.py","49","False","False","False","False","False","False","False","False","False","0","0"
"EXECUTIVE_COMMAND_ENTER.py","C:\IOTEC\EXECUTIVE_COMMAND_ENTER.py","747","True","False","False","True","False","False","False","False","False","0","10"
"EXECUTIVE_COMMAND_TOWER.py","C:\IOTEC\EXECUTIVE_COMMAND_TOWER.py","158","False","False","True","False","False","False","False","False","False","0","0"
"EXECUTIVE_DASHBOARD.py","C:\IOTEC\EXECUTIVE_DASHBOARD.py","1430","False","False","False","False","False","False","False","False","False","0","0"
"EXECUTIVE_DASHBOARD_ENGINE.py","C:\IOTEC\EXECUTIVE_DASHBOARD_ENGINE.py","147","False","False","True","False","False","False","False","False","False","0","0"
"executive_view.py","C:\IOTEC\executive_view.py","11","False","False","False","False","False","False","False","False","False","0","1"
"EXPANSAO_COMPLETA.py","C:\IOTEC\EXPANSAO_COMPLETA.py","200","False","False","False","False","False","False","False","False","False","0","5"
"extrair_valor.py","C:\IOTEC\extrair_valor.py","23","False","False","False","False","False","False","False","False","False","0","1"
"FAILURE_DETECTION.py","C:\IOTEC\FAILURE_DETECTION.py","887","False","False","False","False","False","False","False","False","False","1","9"
"FEEDBACK_DEDUP_ENGINE.py","C:\IOTEC\FEEDBACK_DEDUP_ENGINE.py","115","False","False","True","False","False","False","False","False","False","0","0"
"Fenômenos_Monitorados.py","C:\IOTEC\Fenômenos_Monitorados.py","17","False","False","False","False","False","False","False","False","False","0","0"
"FILA_DE_EXPERIMENTACAO.py","C:\IOTEC\FILA_DE_EXPERIMENTACAO.py","82","False","False","False","False","False","False","False","False","False","0","4"
"FINANCIAL_LEDGER_ENGINE.py","C:\IOTEC\FINANCIAL_LEDGER_ENGINE.py","192","False","False","True","False","False","False","False","False","False","0","0"
"fix_broker.py","C:\IOTEC\fix_broker.py","30","False","False","False","False","False","False","False","False","False","0","2"
"fix_heartbeat_server.py","C:\IOTEC\fix_heartbeat_server.py","90","False","False","False","False","False","False","False","False","False","0","3"
"fix_iotec.py","C:\IOTEC\fix_iotec.py","24","False","False","False","False","False","False","False","False","False","0","0"
"fix_iotec_final.py","C:\IOTEC\fix_iotec_final.py","41","False","False","False","False","False","False","False","False","False","0","2"
"fix_nodes_protocol.py","C:\IOTEC\fix_nodes_protocol.py","92","False","False","False","False","False","False","False","False","False","0","2"
"fix_orchestrator_v2.py","C:\IOTEC\fix_orchestrator_v2.py","203","False","False","False","False","False","False","False","False","False","0","5"
"FLUXO_COMPLETO.py","C:\IOTEC\FLUXO_COMPLETO.py","26","False","False","False","False","False","False","False","False","False","0","0"
